Case_Number,nVertices,Is_Hamiltonian,Elapsed_Time
1,1,True,1.1920928955078125e-06
2,1,True,4.76837158203125e-07
3,1,True,2.384185791015625e-07
4,2,True,3.814697265625e-06
5,2,True,2.6226043701171875e-06
6,2,True,1.430511474609375e-06
7,3,False,5.7220458984375e-06
8,3,True,1.6689300537109375e-06
9,3,False,4.5299530029296875e-06
10,4,False,2.3603439331054688e-05
11,4,False,1.7642974853515625e-05
12,4,False,1.0013580322265625e-05
13,5,False,7.748603820800781e-05
14,5,False,7.62939453125e-05
15,5,True,9.059906005859375e-06
16,6,False,0.0002682209014892578
17,6,True,0.0003726482391357422
18,6,True,0.00011038780212402344
19,7,False,0.0041773319244384766
20,7,False,0.0036389827728271484
21,7,False,0.007638216018676758
22,8,True,1.2874603271484375e-05
23,8,True,0.0049474239349365234
24,8,True,0.001329660415649414
25,9,False,0.3974735736846924
26,9,True,0.0025789737701416016
27,9,True,0.002390623092651367
28,10,True,0.12729835510253906
29,10,False,3.8717541694641113
30,10,True,0.10019683837890625
31,11,False,55.90895438194275
32,11,True,1.9195880889892578
33,11,True,1.0573971271514893
34,12,False,162.14001989364624
35,12,False,425.60739850997925
36,12,True,0.24421477317810059
37,13,True,140.80206680297852
38,13,True,187.44131922721863
39,13,True,5.8650970458984375e-05
40,14,True,25.40943145751953